Tipo;Tamanho;Comando;Variavel;TT301;LD301;FY301;DT301
ASCII;1;16544;fifth_character;;;;
FLOAT;4;16547;special_sensor_upper_range_limit;;;;
FLOAT;4;16548;special_sensor_lower_range_limit;;;;
FLOAT;4;16549;special_sensor_minimum_span;;;;
FLOAT;4;16550;special_sensor_high_limit;;;;
FLOAT;4;16551;special_sensor_low_limit;;;;
ENUMERATED;1;16554;input_unit_code;;;;
FLOAT;4;16555;special_sensor_ohms_mv_upper_limit;;;;
FLOAT;4;16556;special_sensor_ohms_mv_lower_limit;;;;
ENUMERATED;1;16557;special_sensor_gain;;;;
ENUMERATED;1;16558;special_sensor_connection;;;;
UNSIGNED;1;16562;conf_level_menu_1;;;;
UNSIGNED;1;16563;conf_level_menu_2;;;;
UNSIGNED;1;16564;conf_level_menu_3;;;;
UNSIGNED;1;16565;conf_level_menu_4;;;;
UNSIGNED;1;16566;conf_level_menu_5;;;;
UNSIGNED;1;16567;conf_level_menu_6;;;;
UNSIGNED;1;16568;conf_level_menu_7;;;;
UNSIGNED;1;16569;conf_level_menu_8;;;;
FLOAT;4;16572;output_variable;;;;
ENUMERATED;1;16575;mv_special_cold_junction;;;;
FLOAT;4;16578;not_used_1;;;;
FLOAT;4;16579;not_used_2;;;;
FLOAT;4;16580;mv_ohms;;;;
INTEGER;1;16581;not_used_3;;;;
ENUMERATED;1;16582;cal_point_limits_unit;;;;
FLOAT;4;16583;upper_cal_point_value;;;;
FLOAT;4;16584;lower_cal_point_value;;;;
ENUMERATED;1;16585;CONTROLLER_MODE;;;;
ENUMERATED;1;16586;fail_safe_mode;;;;
ENUMERATED;1;16587;sensor_range;;;;
FLOAT;4;16588;table_coordinate_0;;;;
FLOAT;4;16589;table_coordinate_1;;;;
FLOAT;4;16590;table_coordinate_2;;;;
FLOAT;4;16591;table_coordinate_3;;;;
FLOAT;4;16592;table_coordinate_4;;;;
FLOAT;4;16593;table_coordinate_5;;;;
FLOAT;4;16594;table_coordinate_6;;;;
FLOAT;4;16595;table_coordinate_7;;;;
FLOAT;4;16596;table_coordinate_8;;;;
FLOAT;4;16597;table_coordinate_9;;;;
FLOAT;4;16598;table_coordinate_10;;;;
FLOAT;4;16599;table_coordinate_11;;;;
FLOAT;4;16600;table_coordinate_12;;;;
FLOAT;4;16601;table_coordinate_13;;;;
FLOAT;4;16602;table_coordinate_14;;;;
FLOAT;4;16603;table_coordinate_15;;;;
FLOAT;4;16604;table_coordinate_16;;;;
FLOAT;4;16605;table_coordinate_17;;;;
FLOAT;4;16606;table_coordinate_18;;;;
FLOAT;4;16607;table_coordinate_19;;;;
FLOAT;4;16608;table_coordinate_20;;;;
FLOAT;4;16609;table_coordinate_21;;;;
FLOAT;4;16610;table_coordinate_22;;;;
FLOAT;4;16611;table_coordinate_23;;;;
FLOAT;4;16612;table_coordinate_24;;;;
FLOAT;4;16613;table_coordinate_25;;;;
FLOAT;4;16614;table_coordinate_26;;;;
FLOAT;4;16615;table_coordinate_27;;;;
FLOAT;4;16616;table_coordinate_28;;;;
FLOAT;4;16617;table_coordinate_29;;;;
FLOAT;4;16618;table_coordinate_30;;;;
FLOAT;4;16619;table_coordinate_31;;;;
